platform,region,feedback_text,clean_feedback_text,issue_category,star_rating,review_source,urgency,word_count
revolut,unknown,"Used to be a great bank(update 2025) : But due to their faulty app design, specially their stays section where accidental bookings can be made so easily, with no confirm payment step leaves a bad taste in my mouth. Turns out customer support is quite dodgy and not very transparent as well. You can only reach them via the app chat, with no phone number to call to.","used to be a great bank(update 2025) : but due to their faulty app design, specially their stays section where accidental bookings can be made so easily, with no confirm payment step leaves a bad taste in my mouth. turns out customer support is quite dodgy and not very transparent as well. you can only reach them via the app chat, with no phone number to call to.",transaction_issues,2,playstore,High,68
revolut,unknown,"Avoid this bank as much as you can. They have no real support or staff. You fight dumb AI chatbots first, then get stuck with remote workers who clearly aren't pros. They just spam the same copy-paste replies, don't even properly read your emails, let alone help fix anything. My account got shut over a tiny doc issue. Endless emails and hours chatting online? Zero results. Totally irresponsible. Go for banks with real branches instead. do not waste your time and money.","avoid this bank as much as you can. they have no real support or staff. you fight dumb ai chatbots first, then get stuck with remote workers who clearly aren't pros. they just spam the same copy-paste replies, don't even properly read your emails, let alone help fix anything. my account got shut over a tiny doc issue. endless emails and hours chatting online? zero results. totally irresponsible. go for banks with real branches instead. do not waste your time and money.",customer_support_experience,1,playstore,Medium,82
revolut,unknown,I transfered 200 pounds into this and they asked for proof of income which I supplied and they still just blocked the account without any reason. I had money stuck for months before retrieving it.,i transfered 200 pounds into this and they asked for proof of income which i supplied and they still just blocked the account without any reason. i had money stuck for months before retrieving it.,kyc,1,playstore,Medium,35
revolut,unknown,"the app app is frozen and completely useless, after numerous complaints to revolut, they refusing to refund my money, and also saying completely false things, regarding what I have said. I have tried all the the things they suggested but nothing works, they don't respect thier customers or value, they don't care about anything. very devious and deceitful bank.","the app app is frozen and completely useless, after numerous complaints to revolut, they refusing to refund my money, and also saying completely false things, regarding what i have said. i have tried all the the things they suggested but nothing works, they don't respect thier customers or value, they don't care about anything. very devious and deceitful bank.",refunds_&_reversals,1,playstore,Medium,59
revolut,unknown,"ID verification doesn't work, and they constantly email you telling you to do the broken ID verification. Edit: No, I don't need to contact support. YOU need to fix your app. I will continue using other, better banking apps.","id verification doesn't work, and they constantly email you telling you to do the broken id verification. edit: no, i don't need to contact support. you need to fix your app. i will continue using other, better banking apps.",kyc,1,playstore,Medium,39
revolut,unknown,Some time ago they ogranized whole app in clearer way. Now they are back to old messy style. I am tired of it...,some time ago they ogranized whole app in clearer way. now they are back to old messy style. i am tired of it...,product_&_feature_feedback,1,playstore,Low,23
revolut,unknown,have payed for a card in October and have received nothing,have payed for a card in october and have received nothing,cards_&_payment_instruments,1,playstore,High,11
revolut,unknown,constantly refusing to help me after a scam.i want your proof of warnings ⚠️ of transactions on my account. WHY?,constantly refusing to help me after a scam.i want your proof of warnings ⚠️ of transactions on my account. why?,account_access_&_security_issues,1,playstore,High,20
revolut,unknown,"OK for small change operations, but if you've got the free account, better to stick to your traditional bank. Fees (e. g. on crypto) are really high. I don't have a paid account (would defeat the purpose of having this), so I can't comment on them.","ok for small change operations, but if you've got the free account, better to stick to your traditional bank. fees (e. g. on crypto) are really high. i don't have a paid account (would defeat the purpose of having this), so i can't comment on them.",product_&_feature_feedback,2,playstore,Low,46
revolut,unknown,"I wanted to find a fast way to transfer money internationally to pay for my rent. it asks you to add money to the account, so I was like ok I'll do that. I put the amount, click continue. it immediately does the thing, and says that it will take 3-4 business days. no confirmation asked. I tried to cancel it but you can't. contacted help, they said they understood my pain....","i wanted to find a fast way to transfer money internationally to pay for my rent. it asks you to add money to the account, so i was like ok i'll do that. i put the amount, click continue. it immediately does the thing, and says that it will take 3-4 business days. no confirmation asked. i tried to cancel it but you can't. contacted help, they said they understood my pain....",transaction_issues,1,playstore,High,72
revolut,europe,"I have been using Revolut since 2018 and I manly subscribed to the ""Metal"" plan. I advised the financial institution to many friends, colleagues and family members because it worked fine and the support was good. This all changed during the past 6 months, and it is so bad I decided to close my account. The last drop was the unilateral change of my IBAN from Lithuania to Italy, done without my consent, without giving me any information and from one day to another, which is clearly against European Legislation.
When I asked to close the account and transfer my assets to my regular bank's
IBAN, the answer was that I had to close the account if I wanted to. Of course there were many ""we are sorry, we are here to help, we feel your discomfort"" and similar phrases that just added further anguish.
After 15 days of back and forth communications, I still don't know why this happened, if not for ""adhering to mandatory policies"", to which there is no further information. But this is not atypical, since I still don't know why paying at a gas station in Europe, I was charged in Japanese Yen (they blame of course the merchant). The fact is Revolut has become a source of anguish and I would like to close the account but it seems impossible because I have 5 euros in Cryptos that need first 10 days then 1 month to be sold and after I told them to keep them they said they cannot. Polka dot, if you are out there, since they blame you: why do I need a month to sell your coins?
This defeats the whole point of having Cryptocurrency!
In a word: stay away from Revolut!!","i have been using revolut since 2018 and i manly subscribed to the ""metal"" plan. i advised the financial institution to many friends, colleagues and family members because it worked fine and the support was good. this all changed during the past 6 months, and it is so bad i decided to close my account. the last drop was the unilateral change of my iban from lithuania to italy, done without my consent, without giving me any information and from one day to another, which is clearly against european legislation.
when i asked to close the account and transfer my assets to my regular bank's
iban, the answer was that i had to close the account if i wanted to. of course there were many ""we are sorry, we are here to help, we feel your discomfort"" and similar phrases that just added further anguish.
after 15 days of back and forth communications, i still don't know why this happened, if not for ""adhering to mandatory policies"", to which there is no further information. but this is not atypical, since i still don't know why paying at a gas station in europe, i was charged in japanese yen (they blame of course the merchant). the fact is revolut has become a source of anguish and i would like to close the account but it seems impossible because i have 5 euros in cryptos that need first 10 days then 1 month to be sold and after i told them to keep them they said they cannot. polka dot, if you are out there, since they blame you: why do i need a month to sell your coins?
this defeats the whole point of having cryptocurrency!
in a word: stay away from revolut!!",account_access_&_security_issues,1,playstore,High,287
revolut,unknown,"Just upgraded my phone, now I can't log in to my account unless I take a ""selfie."" Fortunately, I haven't wiped my old device yet, so l can still withdraw my money.
Otherwise, if you don't consent to this intrusive measure, you lose access to your funds. That's what l'd call robbery, but what do I know? Idk anything. That's just my opinion.","just upgraded my phone, now i can't log in to my account unless i take a ""selfie."" fortunately, i haven't wiped my old device yet, so l can still withdraw my money.
otherwise, if you don't consent to this intrusive measure, you lose access to your funds. that's what l'd call robbery, but what do i know? idk anything. that's just my opinion.",product_&_feature_feedback,1,playstore,Low,62
revolut,unknown,"Have had big issues with the app the last 3 days. I can't change money, do transfers, chat for help, so my money is basically blocked. The app seems to fail to connect properly. Almost as if I am offline. This is really bad.","have had big issues with the app the last 3 days. i can't change money, do transfers, chat for help, so my money is basically blocked. the app seems to fail to connect properly. almost as if i am offline. this is really bad.",customer_support_experience,1,playstore,Medium,44
revolut,unknown,"Said they couldn't authenticate my phone number for some reason so I gave up.
Couldn't even create an account.","said they couldn't authenticate my phone number for some reason so i gave up.
couldn't even create an account.",app_performance_&_bugs,1,playstore,Medium,18
revolut,unknown,"I decided to give Revolut another try after several years, and unfortunately the experience was just as frustrating as before.
In the past, I repeatedly ran into security and verification issues - multiple uploads of my driver's license, facial photos, and even a video call with support - before eventually giving up. Recently, I opened a new account and completed the full identity verification process again, including scanning my driver's license and submitting a face scan.
Everything initially appeared to be successful.
When I attempted to add funds, I encountered an error. Shortly after, l received an email stating that my account would be closed because Revolut was unable to verify my identity. I filed an appeal and submitted additional documentation, including my driver's license and a recent paycheck stub. Despite this, Revolut upheld their decision without providing any specific explanation. At no point was I told what was missing, incorrect, or how the issue could be resolved. I fully understand identity verification and AML requirements, but being asked to repeatedly provide documentation
— only to have the account closed anyway — is a poor user experience and a significant waste of time.
If you value transparency and a smooth onboarding process, this app may not be a good fit.","i decided to give revolut another try after several years, and unfortunately the experience was just as frustrating as before.
in the past, i repeatedly ran into security and verification issues - multiple uploads of my driver's license, facial photos, and even a video call with support - before eventually giving up. recently, i opened a new account and completed the full identity verification process again, including scanning my driver's license and submitting a face scan.
everything initially appeared to be successful.
when i attempted to add funds, i encountered an error. shortly after, l received an email stating that my account would be closed because revolut was unable to verify my identity. i filed an appeal and submitted additional documentation, including my driver's license and a recent paycheck stub. despite this, revolut upheld their decision without providing any specific explanation. at no point was i told what was missing, incorrect, or how the issue could be resolved. i fully understand identity verification and aml requirements, but being asked to repeatedly provide documentation
— only to have the account closed anyway — is a poor user experience and a significant waste of time.
if you value transparency and a smooth onboarding process, this app may not be a good fit.",account_access_&_security_issues,1,playstore,High,205
revolut,unknown,"So many challenges. Customer service starts off with Al which hallucinates. Not confidence boosting when dealing with financial matters.
Now waiting for human agent in chat room. 15 minutes and counting. If u are running a business not sure if spending an hr for a single transfer makes sense.
Trying to transfer money from my bank to Revolut. Horrible experience. Forces u to use app instead of pc. Requires the uploading of docs which are not on my phone.
Transfer gets rejected. No explanation.
I could go on but I think u get the idea.
Puts customer in a box w rigid constraints and then does not provide customer service","so many challenges. customer service starts off with al which hallucinates. not confidence boosting when dealing with financial matters.
now waiting for human agent in chat room. 15 minutes and counting. if u are running a business not sure if spending an hr for a single transfer makes sense.
trying to transfer money from my bank to revolut. horrible experience. forces u to use app instead of pc. requires the uploading of docs which are not on my phone.
transfer gets rejected. no explanation.
i could go on but i think u get the idea.
puts customer in a box w rigid constraints and then does not provide customer service",account_access_&_security_issues,1,playstore,High,105
revolut,unknown,"Got this card originally because my coworkers best friend recommended it. This card is great for conversion, however the processing time is awful. You're better off sticking to your primary debit card and paying for the conversion fee. They charge you a fee here, make it so that there's different ""member status"" based on a subscription service that realistically doesn't do much. I paid $9.99 to make sure I got faster delivery for my card and because I wanted one of their premium looking cards.
The card that came in the mail wasn't what I ordered, and was still delayed arriving to me.
100 percent not what I paid for. On top of that, I transferred $600 five days ago to this account. It says it's pending on Revolt's end but has been taken out of my primary bank account for over 3 days. The money still hasn't processed as of today (day 5). Now I am down 600 dollars which they promised me would arrive 3-4 business days from now, even though it's already been withdrawn from my account. When I used to the customer service to track where my money was, they were no help and just told me it would arrive by Friday at the latest (it is Tuesday now). Do not use this card. I would not recommend, it is not worth the hassle.","got this card originally because my coworkers best friend recommended it. this card is great for conversion, however the processing time is awful. you're better off sticking to your primary debit card and paying for the conversion fee. they charge you a fee here, make it so that there's different ""member status"" based on a subscription service that realistically doesn't do much. i paid $9.99 to make sure i got faster delivery for my card and because i wanted one of their premium looking cards.
the card that came in the mail wasn't what i ordered, and was still delayed arriving to me.
100 percent not what i paid for. on top of that, i transferred $600 five days ago to this account. it says it's pending on revolt's end but has been taken out of my primary bank account for over 3 days. the money still hasn't processed as of today (day 5). now i am down 600 dollars which they promised me would arrive 3-4 business days from now, even though it's already been withdrawn from my account. when i used to the customer service to track where my money was, they were no help and just told me it would arrive by friday at the latest (it is tuesday now). do not use this card. i would not recommend, it is not worth the hassle.",account_access_&_security_issues,1,playstore,High,226
revolut,unknown,"Possibly the most bureaucratic, least user friendly app for transferring money. After numerous unsuccessful attempts, I ended up having to Venmo someone who to giving the cash to the person I was trying to send money to. Yikes.","possibly the most bureaucratic, least user friendly app for transferring money. after numerous unsuccessful attempts, i ended up having to venmo someone who to giving the cash to the person i was trying to send money to. yikes.",transaction_issues,1,playstore,High,38
revolut,unknown,I do not pay for banking so I'm not willing to pay 7.99 per month for an account,i do not pay for banking so i'm not willing to pay 7.99 per month for an account,product_&_feature_feedback,1,playstore,Low,18
revolut,unknown,"very poor app, it can't authenticate you, the design itself is an issue, the support cannot solve it, whatever money in it get stuck.","very poor app, it can't authenticate you, the design itself is an issue, the support cannot solve it, whatever money in it get stuck.",account_access_&_security_issues,1,playstore,High,24
revolut,unknown,top-up not working or with very big delay,top-up not working or with very big delay,app_performance_&_bugs,1,playstore,Medium,8
revolut,unknown,"i can't get any code, I waited for over 4 mins I tried call no response what type of app is this","i can't get any code, i waited for over 4 mins i tried call no response what type of app is this",account_access_&_security_issues,1,playstore,High,22
revolut,unknown,"every time when making a larger transaction, I get contacted by the fraud department and need to go though a lengthy questioning process. only for them to block my transfers. as of now, Revolut is more of a scammer than the accounts I am transferring to","every time when making a larger transaction, i get contacted by the fraud department and need to go though a lengthy questioning process. only for them to block my transfers. as of now, revolut is more of a scammer than the accounts i am transferring to",transaction_issues,2,playstore,High,46
revolut,unknown,"Could be more user friendly. Tap a notification, log in, then try to carry on in the app, log in again. Verify identity. Photograph and send legal documents, works fine. Photograph face, it has to be absolutely perfect lighting condions or something, because it fails? Go to verify again, upload document, again, despite being accepted already, then take a selfie. Fail! Repeat ad nauseum. Another thing, when the selfie process fails, it requires a restart, because it hooks the camera api.","could be more user friendly. tap a notification, log in, then try to carry on in the app, log in again. verify identity. photograph and send legal documents, works fine. photograph face, it has to be absolutely perfect lighting condions or something, because it fails? go to verify again, upload document, again, despite being accepted already, then take a selfie. fail! repeat ad nauseum. another thing, when the selfie process fails, it requires a restart, because it hooks the camera api.",kyc,3,playstore,Medium,81
revolut,unknown,"App flow and layout is kind of labyrinthine and it's far too easy to make an accidental transfer of funds from bank or card because it does not ask you to review and confirm once you have the payment sources set up. You tap ""continue"" and it just starts processing. Incredibly easy to just press on accident when you're not ready to make the transfer","app flow and layout is kind of labyrinthine and it's far too easy to make an accidental transfer of funds from bank or card because it does not ask you to review and confirm once you have the payment sources set up. you tap ""continue"" and it just starts processing. incredibly easy to just press on accident when you're not ready to make the transfer",product_&_feature_feedback,3,playstore,Low,65
revolut,unknown,ive had multiple problems in the past where I've been locked out of my savings account and couldn't get to €200+ it took days of talking to the AI help line for it to come back. now all my transactions are pending and ive lost €30 that I need right now AND your ai help chat bot is not working...you should not be using AI when it comes to REAL people's money in the first place its unreliable.,ive had multiple problems in the past where i've been locked out of my savings account and couldn't get to €200+ it took days of talking to the ai help line for it to come back. now all my transactions are pending and ive lost €30 that i need right now and your ai help chat bot is not working...you should not be using ai when it comes to real people's money in the first place its unreliable.,account_access_&_security_issues,1,playstore,High,78
revolut,unknown,"These push-notification campaigns are getting really annoying. There's no way to turn them off in-app, and they ""can't"" do anything about it even after multiple reports. You have to turn all notifications off by force (thus stopping you from using the app when events you are interested in come up).","these push-notification campaigns are getting really annoying. there's no way to turn them off in-app, and they ""can't"" do anything about it even after multiple reports. you have to turn all notifications off by force (thus stopping you from using the app when events you are interested in come up).",product_&_feature_feedback,3,playstore,Low,50
revolut,europe,"It is okay if your spouse is European and managing separate dual currency wallets. but the exchange rate is not good at all. I would use wise for exchange rate. Also, for the app notification settings, it does not notify people if there were deposit or withdrawal. They only give notification settings for promotion and ads.","it is okay if your spouse is european and managing separate dual currency wallets. but the exchange rate is not good at all. i would use wise for exchange rate. also, for the app notification settings, it does not notify people if there were deposit or withdrawal. they only give notification settings for promotion and ads.",product_&_feature_feedback,3,playstore,Low,56
revolut,unknown,"app is ok but support is lacking completely. they said I did some transactions with a card number but when I checked, that nr doesn't match anything I own and I've been asking for clarification for 3 days now (and I'm on a paid plan), while they advertise 24/7 support, all I get is hit and runs, same messages, no clarification, no live support. so only 3 stars from me considering latest experience. used to love you, guys... :(","app is ok but support is lacking completely. they said i did some transactions with a card number but when i checked, that nr doesn't match anything i own and i've been asking for clarification for 3 days now (and i'm on a paid plan), while they advertise 24/7 support, all i get is hit and runs, same messages, no clarification, no live support. so only 3 stars from me considering latest experience. used to love you, guys... :(",customer_support_experience,3,playstore,Medium,79
revolut,unknown,It is very handy when you want to pay friends small amounts of money but I would not put a large amount of money into the account as €40 worth of rupees was taken from my account at an ATM in India last December and I got no satisfaction from Revolut. Fortunately it was a small amount but I would not encourage anyone to lodge a large amount as a result of that experience.,it is very handy when you want to pay friends small amounts of money but i would not put a large amount of money into the account as €40 worth of rupees was taken from my account at an atm in india last december and i got no satisfaction from revolut. fortunately it was a small amount but i would not encourage anyone to lodge a large amount as a result of that experience.,account_access_&_security_issues,3,playstore,High,74
revolut,unknown,"edited to 3 star from 5! withdrawals from savings keeps breaking and it being stuck in pending. on top of this issue again happening, support chat is now down along with 90% of the app no way to contact. no access to money. very embarrassing when I was out and was just going to quickly transfer a payment and couldn't. 2nd time in a couple of weeks. not acceptable.","edited to 3 star from 5! withdrawals from savings keeps breaking and it being stuck in pending. on top of this issue again happening, support chat is now down along with 90% of the app no way to contact. no access to money. very embarrassing when i was out and was just going to quickly transfer a payment and couldn't. 2nd time in a couple of weeks. not acceptable.",cards_&_payment_instruments,3,playstore,High,69
revolut,unknown,"Revolut is overall a great product, but lacks many functions. Please add position indicators on detailed price charts. It is impossible to see buy and sell positions. Very poor. The help assistants Ai suggestions were next to useless. I cannot report a bug in the app. The option is not there. ""To do this, just tap your profile icon in the top-left corner, scroll down, and select 'Report a bug'. You can then describe that you'd like to see buy and sell indicators added to the charts.""","revolut is overall a great product, but lacks many functions. please add position indicators on detailed price charts. it is impossible to see buy and sell positions. very poor. the help assistants ai suggestions were next to useless. i cannot report a bug in the app. the option is not there. ""to do this, just tap your profile icon in the top-left corner, scroll down, and select 'report a bug'. you can then describe that you'd like to see buy and sell indicators added to the charts.""",app_performance_&_bugs,3,playstore,Medium,87
revolut,unknown,"Good for most money related things, but be aware of scumbaggery - they gave me a plan to try it out, and when I didnt like it and went to cancel, they charged me breakout fee. So be careful when accepting promo offers.","good for most money related things, but be aware of scumbaggery - they gave me a plan to try it out, and when i didnt like it and went to cancel, they charged me breakout fee. so be careful when accepting promo offers.",product_&_feature_feedback,3,playstore,Low,43
revolut,unknown,"Here is things I don't like - can't delete person from contacts even if only single payment has been made, I hope this will be fixed. also, Inbox spammed with revolut spam. otherwise everything works fine.","here is things i don't like - can't delete person from contacts even if only single payment has been made, i hope this will be fixed. also, inbox spammed with revolut spam. otherwise everything works fine.",product_&_feature_feedback,3,playstore,Low,36
revolut,unknown,"Through time, my experience with Revolut has slowly worsened and my satisfaction declined. They use every opportunity to trick you. From double charging for ""plans"" to declining Savings, without explanation... One must simply read every single letter very carefully, before accepting any offers, gifts.......","through time, my experience with revolut has slowly worsened and my satisfaction declined. they use every opportunity to trick you. from double charging for ""plans"" to declining savings, without explanation... one must simply read every single letter very carefully, before accepting any offers, gifts.......",financial_products,3,playstore,Low,44
revolut,unknown,"Edit After 6mo: really bad designs / lack of features. 1) you can't search your transactions meaningfully, e.g: ""incoming, larger than 100$"". 2) someone transferred me regularly, I wanted to transfer back. It was impossible to get the details of that person from the incoming transactions, instead I had to create a new contact from scratch typing in all info. 3) a standard transfer took more than 25 minutes to set up because the app did not take an IBAN for an international recipient.","edit after 6mo: really bad designs / lack of features. 1) you can't search your transactions meaningfully, e.g: ""incoming, larger than 100$"". 2) someone transferred me regularly, i wanted to transfer back. it was impossible to get the details of that person from the incoming transactions, instead i had to create a new contact from scratch typing in all info. 3) a standard transfer took more than 25 minutes to set up because the app did not take an iban for an international recipient.",product_&_feature_feedback,3,playstore,Low,84
revolut,unknown,"90 minutes and 15 ATMs later, I still can't make a deposit onto my Revolut card. I used their own ATM map. I went to ATMs marked ""deposit."" I went to 3 different banks. It's a good card for withdrawals and transfers but not cash deposits.","90 minutes and 15 atms later, i still can't make a deposit onto my revolut card. i used their own atm map. i went to atms marked ""deposit."" i went to 3 different banks. it's a good card for withdrawals and transfers but not cash deposits.",cards_&_payment_instruments,3,playstore,High,46
revolut,unknown,Revpoint spare change scam. I noticed the spare change to revpoints (that i don t need) after a few months and lost like 50 euros... Other than that the app is ok. just be VERY carefully about the changes they make or you will get screwd,revpoint spare change scam. i noticed the spare change to revpoints (that i don t need) after a few months and lost like 50 euros... other than that the app is ok. just be very carefully about the changes they make or you will get screwd,product_&_feature_feedback,3,playstore,Low,46
revolut,unknown,"Hello, can you please configure the widget API that shows the current balance of an account? It keeps delaying usually, but that's a secondary problem. The main problem is that it shows me a previous balance and it does not want to update/change. It has not updated for over 24h.","hello, can you please configure the widget api that shows the current balance of an account? it keeps delaying usually, but that's a secondary problem. the main problem is that it shows me a previous balance and it does not want to update/change. it has not updated for over 24h.",product_&_feature_feedback,3,playstore,Low,50
revolut,Europe,"I have been using Revolut since 2018 and I manly subscribed to the ""Metal"" plan. I advised the financial institution to many friends, colleagues and family members because it worked fine and the support was good. This all changed during the past 6 months, and it is so bad I decided to close my account. The last drop was the unilateral change of my IBAN from Lithuania to Italy, done without my consent, without giving me any information and from one day to another, which is clearly against European Legislation.
When I asked to close the account and transfer my assets to my regular bank's
IBAN, the answer was that I had to close the account if I wanted to. Of course there were many ""we are sorry, we are here to help, we feel your discomfort"" and similar phrases that just added further anguish.
After 15 days of back and forth communications, I still don't know why this happened, if not for ""adhering to mandatory policies"", to which there is no further information. But this is not atypical, since I still don't know why paying at a gas station in Europe, I was charged in Japanese Yen (they blame of course the merchant). The fact is Revolut has become a source of anguish and I would like to close the account but it seems impossible because I have 5 euros in Cryptos that need first 10 days then 1 month to be sold and after I told them to keep them they said they cannot. Polka dot, if you are out there, since they blame you: why do I need a month to sell your coins?
This defeats the whole point of having Cryptocurrency!
In a word: stay away from Revolut!!","i have been using revolut since 2018 and i manly subscribed to the ""metal"" plan. i advised the financial institution to many friends, colleagues and family members because it worked fine and the support was good. this all changed during the past 6 months, and it is so bad i decided to close my account. the last drop was the unilateral change of my iban from lithuania to italy, done without my consent, without giving me any information and from one day to another, which is clearly against european legislation.
when i asked to close the account and transfer my assets to my regular bank's
iban, the answer was that i had to close the account if i wanted to. of course there were many ""we are sorry, we are here to help, we feel your discomfort"" and similar phrases that just added further anguish.
after 15 days of back and forth communications, i still don't know why this happened, if not for ""adhering to mandatory policies"", to which there is no further information. but this is not atypical, since i still don't know why paying at a gas station in europe, i was charged in japanese yen (they blame of course the merchant). the fact is revolut has become a source of anguish and i would like to close the account but it seems impossible because i have 5 euros in cryptos that need first 10 days then 1 month to be sold and after i told them to keep them they said they cannot. polka dot, if you are out there, since they blame you: why do i need a month to sell your coins?
this defeats the whole point of having cryptocurrency!
in a word: stay away from revolut!!",financial_products,1,appstore,Low,287
revolut,unknown,"Just upgraded my phone, now I can't log in to my account unless I take a ""selfie."" Fortunately, I haven't wiped my old device yet, so l can still withdraw my money.
Otherwise, if you don't consent to this intrusive measure, you lose access to your funds. That's what l'd call robbery, but what do I know? Idk anything. That's just my opinion.","just upgraded my phone, now i can't log in to my account unless i take a ""selfie."" fortunately, i haven't wiped my old device yet, so l can still withdraw my money.
otherwise, if you don't consent to this intrusive measure, you lose access to your funds. that's what l'd call robbery, but what do i know? idk anything. that's just my opinion.",kyc,1,appstore,Medium,62
revolut,unknown,"Have had big issues with the app the last 3 days. I can't change money, do transfers, chat for help, so my money is basically blocked. The app seems to fail to connect properly. Almost as if I am offline. This is really bad.","have had big issues with the app the last 3 days. i can't change money, do transfers, chat for help, so my money is basically blocked. the app seems to fail to connect properly. almost as if i am offline. this is really bad.",transaction_issues,1,appstore,High,44
revolut,unknown,"Said they couldn't authenticate my phone number for some reason so I gave up.
Couldn't even create an account.","said they couldn't authenticate my phone number for some reason so i gave up.
couldn't even create an account.",account_access_&_security_issues,1,appstore,High,18
